"face_id,Manipulation,manipulated,none"
"94,Femininity,3.909090909090909,4.157894736842105"
"94,Masculinity,4.185185185185185,4.434782608695652"
"94,Symmetry,4.5,4.5"
"96,Averageness,2.0,1.8125"
"96,Femininity,1.4761904761904763,1.55"
"96,Masculinity,1.9565217391304348,1.7037037037037037"
"96,Symmetry,1.565217391304348,1.6842105263157894"
"98,Averageness,3.8823529411764706,3.3333333333333335"
"98,Femininity,2.789473684210526,3.3181818181818183"
"98,Masculinity,3.44,3.8"
"98,Symmetry,3.473684210526316,3.347826086956522"
"101,Averageness,4.428571428571429,3.4"
"101,Femininity,4.235294117647059,3.625"
"101,Masculinity,3.6666666666666665,4.0"
"101,Symmetry,4.0476190476190474,3.8095238095238093"
"102,Averageness,3.6956521739130435,2.611111111111111"
"102,Femininity,2.7058823529411766,2.7916666666666665"
"102,Masculinity,3.3461538461538463,3.5416666666666665"
"102,Symmetry,2.8095238095238093,2.4761904761904763"
"106,Averageness,4.739130434782608,3.388888888888889"
"106,Femininity,3.9565217391304346,3.6666666666666665"
"106,Masculinity,3.6,4.514285714285714"
"106,Symmetry,3.814814814814815,3.8666666666666667"
"107,Averageness,3.1904761904761907,3.3"
"107,Femininity,3.611111111111111,2.9130434782608696"
"107,Masculinity,3.1818181818181817,3.3214285714285716"
"107,Symmetry,3.090909090909091,3.3"
"109,Averageness,3.375,2.6"
"109,Femininity,2.5,2.5238095238095237"
"109,Masculinity,2.5384615384615383,2.8333333333333335"
"109,Symmetry,2.5454545454545454,1.95"
"110,Averageness,3.4285714285714284,3.0"
"110,Femininity,3.125,3.44"
"110,Masculinity,3.5238095238095237,3.689655172413793"
"110,Symmetry,2.4444444444444446,3.5416666666666665"
"111,Averageness,3.3333333333333335,2.9411764705882355"
"111,Femininity,3.142857142857143,2.9"
"111,Masculinity,3.037037037037037,2.9565217391304346"
"111,Symmetry,2.9523809523809526,2.761904761904762"
"115,Averageness,2.95,2.0476190476190474"
"115,Femininity,2.0,2.3"
"115,Masculinity,2.2666666666666666,2.5"
"115,Symmetry,2.652173913043478,2.1052631578947367"
"116,Averageness,3.0952380952380953,2.45"
"116,Femininity,2.5,2.0"
"116,Masculinity,3.1,2.8333333333333335"
"116,Symmetry,2.3684210526315788,2.3043478260869565"
"118,Averageness,3.217391304347826,2.7222222222222223"
"118,Femininity,2.590909090909091,2.8421052631578947"
"118,Masculinity,2.5789473684210527,2.870967741935484"
"118,Symmetry,2.65,2.5"
"119,Averageness,2.7777777777777777,2.7142857142857144"
"119,Femininity,2.4,2.0625"
"119,Masculinity,2.5357142857142856,2.8181818181818183"
"119,Symmetry,2.55,2.0"
"120,Averageness,4.1875,3.56"
"120,Femininity,4.153846153846154,3.6666666666666665"
"120,Masculinity,4.1923076923076925,4.75"
"120,Symmetry,4.0,3.8"
"121,Averageness,3.0,2.210526315789474"
"121,Femininity,2.2962962962962963,2.4285714285714284"
"121,Masculinity,2.2941176470588234,2.4545454545454546"
"121,Symmetry,2.04,1.8823529411764706"
"124,Averageness,3.875,3.3529411764705883"
"124,Femininity,3.0,3.5416666666666665"
"124,Masculinity,3.0526315789473686,4.129032258064516"
"124,Symmetry,3.35,3.1818181818181817"
"126,Averageness,3.2857142857142856,2.8"
"126,Femininity,3.0434782608695654,2.388888888888889"
"126,Masculinity,2.8666666666666667,3.2"
"126,Symmetry,3.35,3.090909090909091"
"127,Averageness,4.25,3.36"
"127,Femininity,2.230769230769231,3.357142857142857"
"127,Masculinity,3.391304347826087,3.6666666666666665"
"127,Symmetry,3.1,3.1818181818181817"
"128,Averageness,3.526315789473684,2.9545454545454546"
"128,Femininity,2.9473684210526314,3.227272727272727"
"128,Masculinity,3.1785714285714284,3.090909090909091"
"128,Symmetry,2.5,3.35"
"132,Averageness,3.9565217391304346,3.2777777777777777"
"132,Femininity,2.9166666666666665,3.176470588235294"
"132,Masculinity,3.4814814814814814,3.9565217391304346"
"132,Symmetry,3.4166666666666665,3.5"
"134,Averageness,4.363636363636363,4.315789473684211"
"134,Femininity,4.4,4.25"
"134,Masculinity,5.0,5.125"
"134,Symmetry,4.2727272727272725,4.45"
"138,Averageness,2.789473684210526,2.6363636363636362"
"138,Femininity,2.4761904761904763,2.35"
"138,Masculinity,2.347826086956522,2.4074074074074074"
"138,Symmetry,2.260869565217391,2.1052631578947367"
"144,Averageness,2.75,2.3529411764705883"
"144,Femininity,2.64,2.75"
"144,Masculinity,2.923076923076923,3.25"
"144,Symmetry,2.9473684210526314,2.217391304347826"
"146,Averageness,3.391304347826087,2.8333333333333335"
"146,Femininity,3.25,2.4827586206896552"
"146,Masculinity,2.6666666666666665,3.3043478260869565"
"146,Symmetry,2.7058823529411766,2.56"
"151,Averageness,4.043478260869565,3.4444444444444446"
"151,Femininity,3.3684210526315788,2.772727272727273"
"151,Masculinity,3.607142857142857,4.045454545454546"
"151,Symmetry,3.15,3.5454545454545454"
"153,Averageness,3.0555555555555554,2.4782608695652173"
"153,Femininity,2.5,2.9411764705882355"
"153,Masculinity,3.08,3.2"
"153,Symmetry,2.6,2.8636363636363638"
"154,Averageness,4.88,3.0"
"154,Femininity,3.142857142857143,2.7"
"154,Masculinity,3.5555555555555554,4.304347826086956"
"154,Symmetry,2.8181818181818183,2.95"
"155,Averageness,3.736842105263158,2.409090909090909"
"155,Femininity,2.88,2.5625"
"155,Masculinity,2.6538461538461537,2.6666666666666665"
"155,Symmetry,2.9411764705882355,2.12"
"156,Averageness,3.0454545454545454,2.263157894736842"
"156,Femininity,2.5714285714285716,2.5"
"156,Masculinity,3.1153846153846154,3.6666666666666665"
"156,Symmetry,2.125,2.5"
"157,Averageness,2.9523809523809526,2.35"
"157,Femininity,2.111111111111111,2.0434782608695654"
"157,Masculinity,2.32,1.76"
"157,Symmetry,2.0,2.090909090909091"
"158,Averageness,3.0,2.24"
"158,Femininity,2.4375,1.92"
"158,Masculinity,2.1153846153846154,2.25"
"158,Symmetry,2.0434782608695654,2.1578947368421053"
"160,Averageness,4.388888888888889,4.217391304347826"
"160,Femininity,4.4375,4.32"
"160,Masculinity,4.769230769230769,4.583333333333333"
"160,Symmetry,3.95,4.2272727272727275"
"161,Averageness,4.3125,4.12"
"161,Femininity,3.5238095238095237,3.8"
"161,Masculinity,4.222222222222222,4.173913043478261"
"161,Symmetry,3.88,3.6470588235294117"
"162,Averageness,4.214285714285714,4.62962962962963"
"162,Femininity,4.222222222222222,4.173913043478261"
"162,Masculinity,4.730769230769231,4.833333333333333"
"162,Symmetry,4.5,4.576923076923077"
"166,Averageness,3.4,2.4615384615384617"
"166,Femininity,1.9565217391304348,2.9444444444444446"
"166,Masculinity,2.1875,2.5"
"166,Symmetry,2.235294117647059,1.92"
"168,Averageness,1.9444444444444444,1.6521739130434783"
"168,Femininity,2.125,1.4"
"168,Masculinity,1.7741935483870968,1.8421052631578947"
"168,Symmetry,1.7894736842105263,1.826086956521739"
"169,Averageness,3.142857142857143,3.6"
"169,Femininity,2.8125,3.36"
"169,Masculinity,3.193548387096774,3.0526315789473686"
"169,Symmetry,2.875,3.111111111111111"
"170,Averageness,3.8,3.5714285714285716"
"170,Femininity,3.4444444444444446,2.6956521739130435"
"170,Masculinity,3.6818181818181817,3.4642857142857144"
"170,Symmetry,2.739130434782609,3.1052631578947367"
"171,Averageness,2.9,2.9523809523809526"
"171,Femininity,2.6875,2.72"
"171,Masculinity,3.515151515151515,3.1176470588235294"
"171,Symmetry,2.8333333333333335,2.8333333333333335"
"172,Averageness,3.238095238095238,3.4"
"172,Femininity,3.72,3.125"
"172,Masculinity,3.4444444444444446,3.90625"
"172,Symmetry,3.210526315789474,3.0"
"174,Averageness,4.0,4.178571428571429"
"174,Femininity,3.761904761904762,3.75"
"174,Masculinity,4.217391304347826,4.481481481481482"
"174,Symmetry,3.875,3.888888888888889"
"176,Averageness,2.95,2.9523809523809526"
"176,Femininity,3.076923076923077,3.2"
"176,Masculinity,2.9047619047619047,3.5172413793103448"
"176,Symmetry,2.72,3.2941176470588234"
"179,Averageness,3.8333333333333335,3.0869565217391304"
"179,Femininity,3.0526315789473686,2.8181818181818183"
"179,Masculinity,2.857142857142857,3.413793103448276"
"179,Symmetry,3.0526315789473686,2.608695652173913"
"181,Averageness,2.789473684210526,2.1818181818181817"
"181,Femininity,2.5714285714285716,2.05"
"181,Masculinity,2.3703703703703702,2.9130434782608696"
"181,Symmetry,2.1,2.409090909090909"
"183,Averageness,4.269230769230769,4.133333333333334"
"183,Femininity,3.5714285714285716,4.461538461538462"
"183,Masculinity,4.0588235294117645,5.0"
"183,Symmetry,3.736842105263158,4.086956521739131"
"184,Averageness,4.380952380952381,3.95"
"184,Femininity,3.8125,2.96"
"184,Masculinity,3.5238095238095237,4.137931034482759"
"184,Symmetry,3.7222222222222223,3.5833333333333335"
"185,Averageness,4.476190476190476,3.9"
"185,Femininity,3.789473684210526,3.4545454545454546"
"185,Masculinity,3.3157894736842106,3.6774193548387095"
"185,Symmetry,3.6666666666666665,4.0"
"186,Averageness,2.473684210526316,2.0454545454545454"
"186,Femininity,2.2857142857142856,1.75"
"186,Masculinity,1.9642857142857142,2.727272727272727"
"186,Symmetry,2.0526315789473686,2.391304347826087"
"189,Averageness,4.882352941176471,4.833333333333333"
"189,Femininity,3.5,5.56"
"189,Masculinity,4.95,5.133333333333334"
"189,Symmetry,4.62962962962963,4.6"
"190,Averageness,4.095238095238095,2.9"
"190,Femininity,2.125,3.04"
"190,Masculinity,2.9393939393939394,3.0"
"190,Symmetry,2.6666666666666665,3.125"
"191,Averageness,3.130434782608696,2.4444444444444446"
"191,Femininity,2.6666666666666665,2.3043478260869565"
"191,Masculinity,2.9310344827586206,3.2857142857142856"
"191,Symmetry,2.52,2.8823529411764706"
"192,Averageness,2.6818181818181817,2.4210526315789473"
"192,Femininity,2.9411764705882355,2.2083333333333335"
"192,Masculinity,2.576923076923077,2.5"
"192,Symmetry,2.1904761904761907,2.142857142857143"
"193,Averageness,3.7777777777777777,2.652173913043478"
"193,Femininity,2.7142857142857144,3.3"
"193,Masculinity,3.0,3.4615384615384617"
"193,Symmetry,2.9473684210526314,2.782608695652174"
"195,Averageness,3.0,2.36"
"195,Femininity,2.411764705882353,1.9583333333333333"
"195,Masculinity,2.347826086956522,2.814814814814815"
"195,Symmetry,2.25,2.5555555555555554"
"203,Averageness,2.5384615384615383,2.466666666666667"
"203,Femininity,2.5217391304347827,2.0"
"203,Masculinity,2.3214285714285716,2.772727272727273"
"203,Symmetry,1.9473684210526316,2.6956521739130435"
"205,Averageness,4.380952380952381,4.7"
"205,Femininity,4.095238095238095,4.5"
"205,Masculinity,4.208333333333333,5.346153846153846"
"205,Symmetry,4.409090909090909,4.4"
"206,Averageness,4.1,3.7142857142857144"
"206,Femininity,3.4,3.6538461538461537"
